Date,Open Price,High Price,Low Price,Close Price,,EMA_26,EMA_12,,MACD_values,signal_line,Histogram value,,BUY,SELL
04-Jan-24,3700,3719.15,3651.55,3667,,3849.85233,3771.087726,,-78.76460399,-65.23513184,-13.52947215,,FALSE,FALSE
03-Jan-24,3770,3770,3688.2,3691.55,,3838.126231,3758.851152,,-79.27507867,-68.0431212,-11.23195747,,FALSE,FALSE
02-Jan-24,3814.4,3814.4,3766.45,3783.25,,3834.061325,3762.604821,,-71.4565038,-68.72579772,-2.730706079,,FALSE,FALSE
01-Jan-24,3792,3831.9,3772.8,3810.6,,3832.323449,3769.988695,,-62.33475422,-67.44758902,5.112834802,,TRUE,FALSE
29-Dec-23,3797.85,3822.95,3766.05,3794.95,,3829.555046,3773.828896,,-55.7261498,-65.10330118,9.377151379,,FALSE,FALSE
28-Dec-23,3822.1,3838.25,3793.75,3801.05,,3827.443561,3778.016758,,-49.42680275,-61.96800149,12.54119874,,FALSE,FALSE
27-Dec-23,3795.55,3818,3768.1,3810.8,,3826.210704,3783.060334,,-43.1503707,-58.20447533,15.05410464,,FALSE,FALSE
26-Dec-23,3780.1,3833.85,3780.1,3794.6,,3823.869171,3784.835667,,-39.03350375,-54.37028102,15.33677726,,FALSE,FALSE
22-Dec-23,3796.3,3845.95,3762.7,3825.3,,3823.975158,3791.060949,,-32.9142091,-50.07906663,17.16485754,,FALSE,FALSE
21-Dec-23,3734.4,3805,3734.4,3789.45,,3821.417739,3790.813111,,-30.60462828,-46.18417896,15.57955068,,FALSE,FALSE
20-Dec-23,3821.6,3898.85,3768,3780.35,,3818.375684,3789.203401,,-29.17228287,-42.78179974,13.60951687,,FALSE,FALSE
19-Dec-23,3841.4,3852,3791,3812.1,,3817.910819,3792.725955,,-25.18486373,-39.26241254,14.07754881,,FALSE,FALSE
18-Dec-23,3860,3928.95,3831.2,3858,,3820.880388,3802.768116,,-18.11227194,-35.03238442,16.92011248,,FALSE,FALSE
15-Dec-23,3660.2,3894.05,3660.2,3860.05,,3823.78184,3811.580713,,-12.20112712,-30.46613296,18.26500584,,FALSE,FALSE
14-Dec-23,3620.25,3676.35,3620.25,3666.6,,3812.138741,3789.275988,,-22.86275296,-28.94545696,6.082704004,,FALSE,FALSE
13-Dec-23,3641,3650,3563.05,3593.75,,3795.961797,3759.195067,,-36.76673043,-30.50971165,-6.257018773,,FALSE,TRUE
12-Dec-23,3640,3699,3632.2,3672.05,,3786.783146,3745.788134,,-40.99501214,-32.60677175,-8.388240392,,FALSE,FALSE
11-Dec-23,3626.4,3652.7,3623,3642.2,,3776.073283,3729.851498,,-46.22178543,-35.32977449,-10.89201094,,FALSE,FALSE
08-Dec-23,3620.15,3644,3601.15,3626.4,,3764.986373,3713.935883,,-51.05049059,-38.47391771,-12.57657288,,FALSE,FALSE
