"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"02-Jun-2021","-","-","-","     8492.19","       37296248","         3953.54"
"03-Jun-2021","-","-","-","     8502.26","       27572315","         2763.92"
"04-Jun-2021","-","-","-","     8487.59","       29716173","         2412.99"
"07-Jun-2021","-","-","-","     8490.34","       29176279","         2396.49"
"08-Jun-2021","-","-","-","     8578.71","       57461708","         4702.76"
"09-Jun-2021","-","-","-","     8545.65","       50538766","         4321.68"
"10-Jun-2021","-","-","-","     8665.72","       43783440","         4416.67"
"11-Jun-2021","-","-","-","     8736.64","       42757507","         4372.59"
"14-Jun-2021","-","-","-","     8746.87","       33219303","         3664.61"
"15-Jun-2021","-","-","-","     8675.54","       20121699","         2329.23"
"16-Jun-2021","-","-","-","     8629.15","       30594186","         2782.24"
"17-Jun-2021","-","-","-","     8539.76","       27601483","         2680.46"
"18-Jun-2021","-","-","-","     8498.02","       38831477","         4146.82"
"21-Jun-2021","-","-","-","     8538.45","       19407444","         1863.84"
"22-Jun-2021","-","-","-","     8548.66","       22310238","         2201.55"
"23-Jun-2021","-","-","-","     8516.17","       17651059","         1936.08"
"24-Jun-2021","-","-","-","     8495.59","       21122579","         2438.05"
"25-Jun-2021","-","-","-","     8607.62","       40718275","         3846.83"
"28-Jun-2021","-","-","-","     8708.25","       32098789","         3115.33"
"29-Jun-2021","-","-","-","     8772.75","       32629517","         3570.21"
"30-Jun-2021","-","-","-","     8791.88","       28882412","         3158.33"
"01-Jul-2021","-","-","-","     8850.40","       29431481","         2884.72"
"02-Jul-2021","-","-","-","     8915.53","       35539567","         3552.04"
"05-Jul-2021","-","-","-","     8921.53","       15686417","         1688.15"
"06-Jul-2021","-","-","-","     8871.51","       19375699","         1933.20"
"07-Jul-2021","-","-","-","     8891.51","       20717783","         2230.92"
"08-Jul-2021","-","-","-","     8794.28","       18573216","         1916.50"
"09-Jul-2021","-","-","-","     8844.29","       17043913","         2005.84"
"12-Jul-2021","-","-","-","     8856.00","       18483875","         1717.56"
"13-Jul-2021","-","-","-","     8884.19","       22391334","         2152.12"
"14-Jul-2021","-","-","-","     8909.90","       27863543","         2285.55"
"15-Jul-2021","-","-","-","     8892.89","       18386681","         1772.37"
"16-Jul-2021","-","-","-","     8974.75","       28135648","         3116.35"
"19-Jul-2021","-","-","-","     9004.93","       20195601","         2119.16"
"20-Jul-2021","-","-","-","     8908.01","       20849225","         1982.65"
"22-Jul-2021","-","-","-","     8975.45","       18780435","         2005.08"
"23-Jul-2021","-","-","-","     8978.93","       23180287","         1999.86"
"26-Jul-2021","-","-","-","     9038.47","       27185284","         3075.70"
"27-Jul-2021","-","-","-","     8754.07","       51740144","         7370.53"
"28-Jul-2021","-","-","-","     8699.28","       38951128","         5257.50"
"29-Jul-2021","-","-","-","     8675.98","       35593041","         3384.96"
"30-Jul-2021","-","-","-","     8923.04","       70306906","         7009.21"
"02-Aug-2021","-","-","-","     8973.61","       37964211","         3908.07"
"03-Aug-2021","-","-","-","     9059.96","       32030951","         3688.83"
"04-Aug-2021","-","-","-","     9008.26","       21291358","         2664.16"
"05-Aug-2021","-","-","-","     9028.75","       26836914","         3032.21"
"06-Aug-2021","-","-","-","     9007.81","       29049460","         3275.23"
"09-Aug-2021","     9052.00","     9054.90","     8954.85","     9020.80","-","-"
"10-Aug-2021","     9056.20","     9084.65","     8947.05","     9036.75","-","-"
"11-Aug-2021","     9027.40","     9030.45","     8819.70","     8928.75","-","-"
"12-Aug-2021","     8933.10","     8934.45","     8849.70","     8893.65","-","-"
"13-Aug-2021","     8879.00","     8917.55","     8799.80","     8826.45","-","-"
"16-Aug-2021","     8850.30","     8879.75","     8805.80","     8849.70","-","-"
"17-Aug-2021","     8859.85","     9009.50","     8857.30","     9001.90","-","-"
"18-Aug-2021","     9008.05","     9062.15","     8977.75","     8999.60","-","-"
"20-Aug-2021","     8936.75","     9011.05","     8784.90","     8820.60","-","-"
"23-Aug-2021","     8910.15","     8939.55","     8754.75","     8783.90","-","-"
"24-Aug-2021","     8825.80","     8908.25","     8740.10","     8896.40","-","-"
"25-Aug-2021","     8911.30","     8923.80","     8837.15","     8866.70","-","-"
